Loan_ID,Customer_ID,Account_ID,Loan_Type,Loan_Amount,Interest_Rate,Tenure_Months,Loan_Status,Loan_Date
LOAN0000041,CUST023688,ACC0011958,"Business Loan",2189882.06,7.03,120,Active,2022-05-08
LOAN0000042,CUST093659,ACC0056841,"Home Loan",3236507.10,9.21,0,Closed,2025-06-22
LOAN0000043,CUST026630,ACC0094049,"Education Loan",NULL,13.67,120,Active,2022-06-16
LOAN0000044,CUST037225,ACC0095508,"Business Loan",4764509.90,8.05,120,Unknown,2024-08-12
LOAN0000045,CUST086501,ACC0011819,"Education Loan",4977807.42,9.40,48,Active,2023-05-12
LOAN0000046,CUST064095,ACC0016448,"Home Loan",3423557.16,10.03,0,Closed,2024-06-08
LOAN0000047,CUST017092,ACC0025328,"Car Loan",3652132.33,11.15,0,Active,2023-03-12
LOAN0000048,CUST045397,ACC0083925,"Education Loan",3220653.47,11.30,24,Closed,2025-08-22
LOAN0000049,CUST062413,ACC0094383,"Business Loan",4977710.38,6.73,60,Unknown,2024-09-17
LOAN0000050,CUST000148,ACC0016361,"Business Loan",4579653.98,13.29,84,Active,2022-08-04
LOAN0000051,CUST002781,ACC0045009,"Education Loan",2294422.82,12.85,84,Closed,2023-09-04
LOAN0000052,CUST002243,ACC0108757,"Car Loan",1444966.96,13.62,120,Defaulted,2022-07-20
LOAN0000053,CUST060258,ACC0065067,"Car Loan",NULL,7.63,36,Unknown,2025-05-24
LOAN0000054,CUST079791,ACC0117007,"Personal Loan",259169.46,15.47,24,Unknown,2022-01-05
LOAN0000055,CUST001390,ACC0045311,"Business Loan",2341869.24,6.28,0,Closed,2025-02-16
LOAN0000056,CUST023948,ACC0114388,"Home Loan",1897286.13,8.59,12,Defaulted,2024-02-23
LOAN0000057,CUST068753,ACC0049963,"Personal Loan",2990368.40,12.93,24,Active,2025-04-08
LOAN0000058,CUST077531,ACC0105245,"Home Loan",2103817.71,6.58,36,Unknown,2022-03-20
LOAN0000059,CUST085821,ACC0121003,"Home Loan",2763141.85,9.75,36,Unknown,2023-03-08
LOAN0000060,CUST033444,ACC0129583,"Education Loan",3112000.53,10.26,24,Pending,2023-05-11
LOAN0000061,CUST069761,ACC0029996,"Car Loan",3608739.19,7.05,12,Closed,2023-03-28
LOAN0000062,CUST082259,ACC0051404,"Education Loan",1745433.55,10.62,84,Unknown,2024-02-05
LOAN0000063,CUST083556,ACC0099794,"Personal Loan",3748555.46,7.25,0,Active,2023-10-04
LOAN0000064,CUST012444,ACC0056134,"Education Loan",1692902.44,8.75,0,Defaulted,2023-11-05
LOAN0000065,CUST020653,ACC0025464,"Personal Loan",3057035.98,8.39,12,Active,2023-12-24
LOAN0000066,CUST031965,ACC0023275,"Car Loan",4829462.28,8.36,12,Active,2023-11-01
LOAN0000067,CUST056142,ACC0021463,"Home Loan",4175690.12,17.38,0,Defaulted,2023-06-09
LOAN0000068,CUST046373,ACC0112833,"Car Loan",3653080.57,15.59,120,Pending,2023-05-06
LOAN0000069,CUST051186,ACC0074025,"Car Loan",800292.22,16.83,84,Active,2023-01-27
LOAN0000070,CUST098171,ACC0049808,"Business Loan",NULL,13.87,24,Closed,2025-05-18
LOAN0000071,CUST022972,ACC0100974,"Business Loan",3574782.26,14.40,60,Active,2022-09-17
LOAN0000072,CUST025969,ACC0089103,"Home Loan",1500178.11,16.73,0,Active,2022-04-28
LOAN0000073,CUST094476,ACC0112394,"Personal Loan",1618677.93,17.50,0,Active,2024-10-25
LOAN0000074,CUST008117,ACC0122282,"Car Loan",2818100.81,8.15,48,Active,2025-08-13
LOAN0000075,CUST079935,ACC0093682,"Education Loan",377423.15,13.99,60,Defaulted,2023-03-02
LOAN0000076,CUST081960,ACC0026480,"Business Loan",4476643.82,9.24,0,Active,2024-11-13
LOAN0000077,CUST064791,ACC0039385,"Home Loan",789939.33,17.28,84,Active,2023-08-03
LOAN0000078,CUST037008,ACC0128777,"Personal Loan",66899.40,17.44,84,Pending,2025-02-04
LOAN0000079,CUST005243,ACC0021284,"Personal Loan",2562632.56,6.63,36,Active,2025-07-07
LOAN0000080,CUST064306,ACC0006705,"Education Loan",4001575.54,14.95,48,Pending,2022-04-09
LOAN0000081,CUST096720,ACC0116956,"Home Loan",3832404.79,6.34,60,Active,2024-08-04
LOAN0000082,CUST034707,ACC0082221,"Home Loan",855740.80,15.21,12,Unknown,2025-03-14
LOAN0000083,CUST077296,ACC0075185,"Home Loan",1471555.68,6.93,0,Closed,2022-02-09
LOAN0000084,CUST017045,ACC0113039,"Home Loan",3165396.78,15.14,84,Pending,2023-04-01
LOAN0000085,CUST022739,ACC0030256,"Home Loan",1676287.24,6.11,36,Active,2023-08-10
LOAN0000086,CUST063050,ACC0076945,"Business Loan",4832179.95,6.99,0,Closed,2022-12-11
LOAN0000087,CUST067129,ACC0080152,"Business Loan",2382670.87,15.10,0,Active,2025-01-08
LOAN0000088,CUST038068,ACC0055835,"Home Loan",2115960.68,14.65,120,Active,2024-10-08
LOAN0000089,CUST001599,ACC0092073,"Personal Loan",965408.69,16.00,0,Active,2024-01-29
LOAN0000090,CUST032399,ACC0030599,"Personal Loan",2967473.14,17.95,24,Closed,2024-06-21
LOAN0000091,CUST016928,ACC0107676,"Education Loan",1150280.75,15.94,120,Active,2024-10-17
LOAN0000092,CUST085736,ACC0105663,"Education Loan",3530947.37,15.01,36,Unknown,2024-11-22
LOAN0000093,CUST068415,ACC0098575,"Business Loan",2088481.25,13.18,48,Active,2024-07-29
LOAN0000094,CUST054713,ACC0070605,"Business Loan",2493435.26,10.29,36,Unknown,2022-01-27
LOAN0000095,CUST008149,ACC0123080,"Education Loan",147756.86,11.16,120,Unknown,2023-10-23
LOAN0000096,CUST068167,ACC0063769,"Car Loan",4424475.12,17.28,36,Unknown,2025-01-18
LOAN0000097,CUST077907,ACC0105746,"Personal Loan",1899089.49,6.27,0,Pending,2023-02-19
LOAN0000098,CUST071364,ACC0109512,"Education Loan",3970015.08,7.31,84,Pending,2025-10-14
LOAN0000099,CUST098345,ACC0094838,"Car Loan",306137.00,6.16,84,Active,2025-11-29
LOAN0000100,CUST054348,ACC0013149,"Car Loan",3018631.55,13.11,0,Defaulted,2023-05-26
LOAN0000101,CUST040040,ACC0119135,"Business Loan",4349459.96,7.96,120,Active,2022-06-27
LOAN0000102,CUST061889,ACC0004914,"Education Loan",27625.79,7.69,60,Active,2024-12-03
LOAN0000103,CUST085027,ACC0110617,"Personal Loan",2061929.28,15.95,24,Closed,2025-04-02
LOAN0000104,CUST088383,ACC0046959,"Business Loan",1540724.49,7.98,84,Active,2023-08-23
LOAN0000105,CUST089089,ACC0039055,"Business Loan",2292079.42,13.39,60,Unknown,2022-08-12
LOAN0000106,CUST057177,ACC0029602,"Car Loan",NULL,6.77,60,Active,2023-02-24
LOAN0000107,CUST082760,ACC0116008,"Car Loan",4255517.68,16.57,84,Unknown,2023-04-18
LOAN0000108,CUST092271,ACC0077043,"Education Loan",3499208.30,7.42,0,Closed,2025-03-18
LOAN0000109,CUST084735,ACC0021210,"Business Loan",3192844.28,11.61,60,Pending,2023-03-05
LOAN0000110,CUST099905,ACC0118574,"Personal Loan",945008.30,10.84,36,Active,2023-06-23
LOAN0000111,CUST056123,ACC0105099,"Personal Loan",4287483.89,16.19,36,Defaulted,2024-03-27
LOAN0000112,CUST067761,ACC0032499,"Home Loan",4430740.92,10.62,24,Defaulted,2022-09-27
LOAN0000113,CUST041639,ACC0086778,"Education Loan",95559.78,11.37,60,Active,2024-01-19
LOAN0000114,CUST033041,ACC0120795,"Personal Loan",4467230.19,12.89,60,Active,2025-03-09
LOAN0000115,CUST003689,ACC0110134,"Home Loan",355125.07,17.07,84,Closed,2024-11-19
LOAN0000116,CUST038644,ACC0106182,"Home Loan",4934701.80,13.34,48,Pending,2022-12-10
LOAN0000117,CUST008225,ACC0098105,"Home Loan",1137900.54,12.11,60,Unknown,2022-05-05
LOAN0000118,CUST075215,ACC0084225,"Personal Loan",3401253.89,12.03,24,Active,2024-05-22
LOAN0000119,CUST011105,ACC0091742,"Car Loan",70607.82,8.85,0,Pending,2022-09-02
LOAN0000120,CUST047077,ACC0123773,"Home Loan",1097232.44,9.07,36,Pending,2024-04-29
LOAN0000121,CUST028761,ACC0112750,"Personal Loan",3502640.79,10.06,120,Defaulted,2024-05-27
LOAN0000122,CUST072482,ACC0061855,"Business Loan",1523547.54,16.83,48,Unknown,2022-04-29
LOAN0000123,CUST098523,ACC0066135,"Business Loan",772866.98,17.65,60,Active,2022-11-08
LOAN0000124,CUST026276,ACC0112208,"Car Loan",4599662.58,9.83,60,Unknown,2024-05-20
LOAN0000125,CUST083892,ACC0043628,"Personal Loan",3207490.22,7.82,84,Unknown,2024-11-02
LOAN0000126,CUST096547,ACC0099570,"Car Loan",761946.44,17.86,60,Closed,2022-03-24
LOAN0000127,CUST034142,ACC0114121,"Home Loan",2315941.31,8.00,12,Defaulted,2023-03-04
LOAN0000128,CUST013332,ACC0085389,"Home Loan",4390956.12,15.87,48,Closed,2022-06-27
LOAN0000129,CUST092124,ACC0097854,"Home Loan",1374976.82,11.65,0,Defaulted,2022-06-21
LOAN0000130,CUST000473,ACC0023065,"Education Loan",4179701.40,9.53,84,Active,2025-02-04
LOAN0000131,CUST026218,ACC0056307,"Education Loan",1152535.12,13.35,0,Active,2024-01-02
LOAN0000132,CUST091167,ACC0067539,"Education Loan",1985093.17,11.70,0,Pending,2024-03-08
LOAN0000133,CUST076750,ACC0002902,"Car Loan",1343545.26,15.69,48,Active,2025-04-09
LOAN0000134,CUST045285,ACC0059517,"Business Loan",3595257.19,10.04,120,Unknown,2023-05-16
LOAN0000135,CUST051525,ACC0038179,"Education Loan",3204531.38,17.46,24,Active,2024-05-24
LOAN0000136,CUST003356,ACC0044175,"Education Loan",3464692.56,0.00,36,Unknown,2024-01-22
LOAN0000137,CUST063731,ACC0092858,"Car Loan",937016.36,15.93,24,Defaulted,2024-02-01
LOAN0000138,CUST087568,ACC0009964,"Education Loan",367441.90,17.59,84,Pending,2024-11-26
LOAN0000139,CUST032014,ACC0027851,"Business Loan",4005450.64,17.58,0,Unknown,2022-05-25
LOAN0000140,CUST024973,ACC0103401,"Personal Loan",1547561.19,15.20,36,Defaulted,2023-03-19
LOAN0000141,CUST037004,ACC0088570,"Personal Loan",3515825.76,6.65,48,Unknown,2025-02-04
LOAN0000142,CUST023259,ACC0109577,"Home Loan",4382528.97,14.52,0,Active,2023-02-17
LOAN0000143,CUST076454,ACC0035759,"Home Loan",1415631.75,15.12,60,Active,2025-07-30
LOAN0000144,CUST087424,ACC0067912,"Home Loan",2866719.11,10.67,0,Defaulted,2024-01-03
LOAN0000145,CUST032609,ACC0093099,"Home Loan",2422535.88,6.99,120,Closed,2022-09-07
LOAN0000146,CUST015053,ACC0006519,"Education Loan",2524642.37,17.60,60,Unknown,2023-03-21
LOAN0000147,CUST016232,ACC0018308,"Education Loan",2272011.39,8.29,12,Active,2022-09-01
LOAN0000148,CUST005048,ACC0084255,"Business Loan",2371222.15,10.61,36,Defaulted,2025-05-11
LOAN0000149,CUST014802,ACC0065636,"Home Loan",2024560.03,11.58,60,Active,2024-11-12
LOAN0000150,CUST062995,ACC0004896,"Car Loan",3562507.88,17.70,60,Unknown,2022-06-30
LOAN0000151,CUST031715,ACC0094641,"Home Loan",815917.61,12.68,36,Active,2025-05-16
LOAN0000152,CUST010678,ACC0094052,"Car Loan",4979100.66,15.24,0,Active,2024-04-08
LOAN0000153,CUST066052,ACC0092219,"Business Loan",4405097.10,10.50,48,Pending,2022-04-25
LOAN0000154,CUST026862,ACC0038127,"Business Loan",NULL,13.31,24,Pending,2023-05-21
LOAN0000155,CUST017810,ACC0094600,"Home Loan",4923238.64,16.09,120,Active,2024-08-09
LOAN0000156,CUST033603,ACC0074376,"Education Loan",2073546.72,16.75,36,Defaulted,2023-09-14
LOAN0000157,CUST009660,ACC0089063,"Home Loan",1165125.25,15.29,24,Active,2023-09-10
LOAN0000158,CUST097872,ACC0042451,"Business Loan",2242706.62,10.79,120,Defaulted,2025-04-07
LOAN0000159,CUST051037,ACC0064884,"Car Loan",2863216.61,11.90,120,Unknown,2023-04-01
LOAN0000160,CUST089016,ACC0106793,"Personal Loan",4741673.67,8.41,120,Defaulted,2025-04-11
LOAN0000161,CUST032418,ACC0005586,"Business Loan",549259.56,7.20,120,Closed,2024-08-28
LOAN0000162,CUST023165,ACC0049554,"Home Loan",408677.09,7.79,36,Pending,2025-04-28
LOAN0000163,CUST032811,ACC0057106,"Business Loan",2240102.24,11.79,84,Unknown,2022-01-10
LOAN0000164,CUST048240,ACC0052765,"Education Loan",4419647.26,10.98,84,Unknown,2025-02-03
LOAN0000165,CUST022648,ACC0079606,"Personal Loan",12003.03,17.87,84,Defaulted,2022-09-18
LOAN0000166,CUST097338,ACC0068884,"Home Loan",2718850.87,9.32,120,Active,2025-07-14
LOAN0000167,CUST086727,ACC0084198,"Car Loan",4306006.29,14.31,36,Active,2024-01-19
LOAN0000168,CUST047268,ACC0004287,"Car Loan",1103963.14,6.11,60,Active,2023-06-12
LOAN0000169,CUST041283,ACC0079958,"Personal Loan",2037206.84,9.52,0,Active,2023-11-21
LOAN0000170,CUST024979,ACC0067325,"Education Loan",3107995.47,12.84,12,Unknown,2023-04-11
LOAN0000171,CUST031790,ACC0127005,"Car Loan",2007208.25,15.94,0,Unknown,2025-06-20
LOAN0000172,CUST030714,ACC0034816,"Business Loan",2930080.69,9.94,120,Active,2024-12-04
LOAN0000173,CUST016303,ACC0053464,"Business Loan",4226979.63,7.43,12,Pending,2024-03-08
LOAN0000174,CUST021277,ACC0028245,"Home Loan",2078566.42,8.64,36,Closed,2025-01-10
LOAN0000175,CUST015684,ACC0124037,"Home Loan",3605582.84,7.54,12,Defaulted,2024-08-19
LOAN0000176,CUST088256,ACC0122668,"Car Loan",4300699.51,12.89,120,Closed,2023-04-14
LOAN0000177,CUST099176,ACC0082431,"Business Loan",2725664.30,13.32,60,Unknown,2024-11-12
LOAN0000178,CUST054441,ACC0027746,"Personal Loan",1839460.07,15.64,120,Defaulted,2023-09-26
LOAN0000179,CUST053518,ACC0119576,"Car Loan",2836788.41,7.08,60,Unknown,2022-10-04
LOAN0000180,CUST048289,ACC0027608,"Education Loan",3287424.33,16.06,12,Unknown,2022-04-29
LOAN0000181,CUST037127,ACC0006189,"Business Loan",4387474.75,16.49,12,Active,2023-01-14
LOAN0000182,CUST082712,ACC0119204,"Personal Loan",3505939.42,13.26,24,Defaulted,2023-04-05
LOAN0000183,CUST087035,ACC0025436,"Car Loan",1079313.06,16.15,24,Pending,2023-08-02
LOAN0000184,CUST044802,ACC0017392,"Education Loan",3794461.78,10.35,48,Closed,2022-07-04
LOAN0000185,CUST049198,ACC0010786,"Personal Loan",591348.74,11.29,0,Active,2022-06-25
LOAN0000186,CUST044303,ACC0108469,"Education Loan",1689008.94,10.52,24,Active,2025-11-02
LOAN0000187,CUST040644,ACC0127923,"Education Loan",2328735.12,16.32,120,Defaulted,2022-12-20
LOAN0000188,CUST075816,ACC0101145,"Home Loan",1436901.54,17.16,0,Unknown,2024-01-17
LOAN0000189,CUST072188,ACC0094091,"Personal Loan",4863690.10,8.77,60,Defaulted,2025-02-11
LOAN0000190,CUST049783,ACC0085658,"Business Loan",4646840.63,16.62,48,Pending,2023-08-25
LOAN0000191,CUST093284,ACC0006911,"Home Loan",50702.97,13.53,60,Active,2023-04-30
LOAN0000192,CUST096092,ACC0120935,"Education Loan",4629809.69,7.14,12,Active,2023-09-10
LOAN0000193,CUST083599,ACC0123984,"Car Loan",1419354.01,14.20,0,Active,2024-08-31
LOAN0000194,CUST047305,ACC0018467,"Home Loan",290025.39,15.35,0,Active,2022-05-12
LOAN0000195,CUST005364,ACC0019662,"Personal Loan",713539.83,9.23,48,Active,2024-02-22
LOAN0000196,CUST065144,ACC0114161,"Education Loan",511016.79,6.93,0,Active,2025-10-18
LOAN0000197,CUST058926,ACC0075748,"Education Loan",2048609.62,9.10,60,Pending,2024-02-23
LOAN0000198,CUST081687,ACC0044862,"Education Loan",1608594.20,14.67,36,Active,2022-07-29
LOAN0000199,CUST038935,ACC0084233,"Car Loan",1124976.05,16.58,0,Defaulted,2022-12-23
LOAN0000200,CUST088961,ACC0072213,"Personal Loan",2147406.91,14.15,60,Closed,2023-03-22
LOAN0000201,CUST012081,ACC0073967,"Car Loan",713303.97,7.05,84,Unknown,2025-08-16
LOAN0000202,CUST082883,ACC0091959,"Car Loan",1976840.23,12.89,0,Defaulted,2025-02-20
LOAN0000203,CUST046335,ACC0014435,"Education Loan",1366662.16,8.40,84,Unknown,2022-11-22
LOAN0000204,CUST068563,ACC0073200,"Education Loan",4345734.79,7.80,24,Closed,2022-06-20
LOAN0000205,CUST018133,ACC0041727,"Business Loan",675513.86,15.06,36,Defaulted,2023-05-05
LOAN0000206,CUST002546,ACC0100966,"Education Loan",1458997.07,11.07,0,Active,2022-10-04
LOAN0000207,CUST004487,ACC0091279,"Business Loan",1461310.77,7.50,84,Active,2024-04-17
LOAN0000208,CUST006520,ACC0116684,"Home Loan",1753369.06,15.82,0,Pending,2022-07-01
LOAN0000209,CUST012990,ACC0105880,"Business Loan",1065423.53,13.95,0,Defaulted,2022-02-25
LOAN0000210,CUST029794,ACC0000040,"Home Loan",4205548.74,6.78,0,Pending,2025-12-16
LOAN0000211,CUST074978,ACC0121222,"Business Loan",2257031.87,8.01,120,Closed,2023-03-13
LOAN0000212,CUST051454,ACC0090336,"Business Loan",1541510.26,12.08,24,Closed,2022-01-02
LOAN0000213,CUST097392,ACC0093418,"Personal Loan",371119.89,12.59,60,Defaulted,2023-07-27
LOAN0000214,CUST041692,ACC0014767,"Personal Loan",1256673.19,12.94,0,Closed,2025-01-04
LOAN0000215,CUST097822,ACC0070251,"Personal Loan",4602886.14,6.81,24,Defaulted,2022-08-14
LOAN0000216,CUST024452,ACC0039801,"Personal Loan",3686079.22,13.57,36,Closed,2025-03-28
LOAN0000217,CUST083628,ACC0032255,"Business Loan",1402844.75,7.88,0,Unknown,2025-11-26
LOAN0000218,CUST081181,ACC0088119,"Business Loan",96542.90,14.01,0,Pending,2024-12-30
LOAN0000219,CUST031095,ACC0036541,"Car Loan",4215304.85,14.05,36,Active,2023-06-04
LOAN0000220,CUST080426,ACC0009823,"Home Loan",432617.31,15.16,48,Closed,2025-05-04
LOAN0000221,CUST023842,ACC0031449,"Education Loan",2093339.09,10.75,48,Active,2023-06-11
LOAN0000222,CUST050119,ACC0064236,"Personal Loan",750464.84,10.10,24,Unknown,2023-04-15
LOAN0000223,CUST082917,ACC0129074,"Car Loan",2590738.02,7.51,12,Unknown,2025-12-04
LOAN0000224,CUST037620,ACC0043013,"Personal Loan",566035.57,7.47,12,Active,2025-11-24
LOAN0000225,CUST065387,ACC0030912,"Car Loan",1394920.79,11.27,0,Defaulted,2025-12-30
LOAN0000226,CUST074492,ACC0064805,"Personal Loan",3573403.68,8.64,24,Closed,2024-11-10
LOAN0000227,CUST020055,ACC0038973,"Education Loan",1803323.28,6.86,120,Defaulted,2025-01-03
LOAN0000228,CUST010227,ACC0073285,"Home Loan",726779.22,9.88,12,Unknown,2024-03-17
LOAN0000229,CUST036945,ACC0065016,"Car Loan",3563942.11,8.12,120,Active,2023-05-05
LOAN0000230,CUST083177,ACC0059089,"Home Loan",4081023.81,15.70,60,Unknown,2025-02-12
LOAN0000231,CUST038922,ACC0038730,"Home Loan",1794413.34,17.67,0,Active,2023-06-18
LOAN0000232,CUST056229,ACC0110437,"Education Loan",4416523.26,8.49,0,Defaulted,2022-02-03
LOAN0000233,CUST076916,ACC0026558,"Home Loan",1882359.19,6.39,60,Active,2024-05-12
LOAN0000234,CUST056777,ACC0063977,"Car Loan",2032136.90,16.40,24,Closed,2025-07-15
LOAN0000235,CUST004790,ACC0064920,"Personal Loan",2329655.57,17.31,36,Active,2022-07-04
LOAN0000236,CUST044210,ACC0115196,"Business Loan",3974371.74,9.05,120,Defaulted,2022-09-18
LOAN0000237,CUST029937,ACC0092947,"Education Loan",4823742.67,12.57,60,Active,2023-01-26
LOAN0000238,CUST036908,ACC0035702,"Personal Loan",2481952.22,9.34,0,Unknown,2024-01-31
LOAN0000239,CUST041400,ACC0113750,"Personal Loan",527286.59,14.13,48,Unknown,2025-06-23
LOAN0000240,CUST052283,ACC0034444,"Home Loan",2390117.28,9.27,48,Closed,2023-01-01
LOAN0000241,CUST031649,ACC0014581,"Education Loan",3159823.64,16.91,0,Unknown,2023-01-01
LOAN0000242,CUST074575,ACC0007092,"Home Loan",1471241.72,7.98,120,Pending,2025-05-02
LOAN0000243,CUST064056,ACC0016605,"Education Loan",3826598.32,17.54,84,Active,2024-03-24
LOAN0000244,CUST028376,ACC0019298,"Home Loan",1226401.97,13.47,48,Active,2023-07-23
LOAN0000245,CUST077586,ACC0079734,"Personal Loan",1571964.18,16.59,0,Pending,2023-01-06
LOAN0000246,CUST019701,ACC0100213,"Education Loan",1999423.56,8.56,48,Defaulted,2023-07-12
LOAN0000247,CUST085896,ACC0019324,"Car Loan",4911182.61,9.37,84,Active,2022-05-18
LOAN0000248,CUST001197,ACC0070900,"Business Loan",485331.38,12.20,12,Pending,2022-07-15
LOAN0000249,CUST016299,ACC0117005,"Home Loan",4108162.68,10.48,60,Active,2025-12-09
LOAN0000250,CUST081215,ACC0016226,"Personal Loan",2183789.73,16.46,48,Active,2024-07-30
LOAN0000251,CUST025362,ACC0023827,"Home Loan",2000052.61,13.85,0,Active,2022-01-26
LOAN0000252,CUST006919,ACC0059293,"Personal Loan",2325530.38,12.12,12,Active,2024-11-14
LOAN0000253,CUST082984,ACC0033257,"Home Loan",3819439.47,14.02,120,Active,2023-09-13
LOAN0000254,CUST052620,ACC0081485,"Personal Loan",1947539.54,17.79,60,Defaulted,2025-02-04
LOAN0000255,CUST022507,ACC0109584,"Car Loan",2302000.15,7.80,84,Defaulted,2023-09-29
LOAN0000256,CUST085486,ACC0065984,"Car Loan",1233763.91,7.47,60,Pending,2023-12-25
LOAN0000257,CUST093390,ACC0027319,"Home Loan",3209571.65,11.36,24,Active,2025-03-10
LOAN0000258,CUST042410,ACC0068468,"Business Loan",1271901.25,7.88,60,Active,2022-01-24
LOAN0000259,CUST058923,ACC0007196,"Personal Loan",3369760.34,10.23,12,Defaulted,2024-09-15
LOAN0000260,CUST045774,ACC0103298,"Car Loan",2820467.00,15.10,0,Closed,2025-03-17
LOAN0000261,CUST071135,ACC0046953,"Home Loan",1253991.91,17.77,24,Pending,2023-05-16
LOAN0000262,CUST063098,ACC0107667,"Personal Loan",2457530.06,16.04,0,Unknown,2022-07-15
LOAN0000263,CUST013589,ACC0031205,"Personal Loan",4454418.27,7.52,84,Unknown,2024-11-25
LOAN0000264,CUST008742,ACC0100833,"Business Loan",2245229.42,10.96,24,Defaulted,2022-03-08
LOAN0000265,CUST081670,ACC0005687,"Education Loan",3024939.10,15.65,24,Defaulted,2024-11-09
LOAN0000266,CUST016263,ACC0040220,"Education Loan",3573493.03,10.18,120,Active,2024-11-08
LOAN0000267,CUST080096,ACC0051998,"Business Loan",2536206.06,12.33,36,Unknown,2023-02-19
LOAN0000268,CUST021146,ACC0103511,"Car Loan",2162588.90,16.57,48,Closed,2024-03-05
LOAN0000269,CUST033775,ACC0028102,"Business Loan",1904802.65,14.11,48,Active,2023-05-31
LOAN0000270,CUST016855,ACC0027337,"Personal Loan",2863639.11,14.90,84,Unknown,2025-03-13
LOAN0000271,CUST029863,ACC0060533,"Personal Loan",4498203.74,6.35,84,Defaulted,2024-04-16
