Transaction_ID,Account_ID,Customer_ID,Transaction_Date,Transaction_Type,Channel,Amount,Balance_After_Transaction,Transaction_Status,Branch_ID
TXN000000026,ACC0090177,CUST031731,2023-09-27,Deposit,"Mobile App",126372.24,5832439.25,Success,BR0469
TXN000000027,ACC0075106,CUST063782,2025-04-04,"Loan payment","Mobile App",292103.22,3066115.25,Reversed,BR0499
TXN000000028,ACC0079692,CUST095588,2025-03-14,"Atm withdrawal","Mobile App",40742.30,3958439.36,Failed,BR0558
TXN000000029,ACC0105949,CUST098466,2023-03-15,Deposit,Unknown,123891.16,1364015.82,Failed,BR0806
TXN000000030,ACC0052476,CUST043561,2025-06-30,Deposit,Unknown,219358.76,3979285.75,Success,BR0712
TXN000000031,ACC0095771,CUST026657,2023-10-20,Withdrawal,ATM,175071.50,3311637.41,Success,BR0156
TXN000000032,ACC0000676,CUST016581,2025-03-14,Deposit,Unknown,110370.02,520050.68,Success,BR0495
TXN000000033,ACC0034004,CUST018876,2022-11-20,Unknown,ATM,22135.42,2790184.16,Failed,BR0118
TXN000000034,ACC0007107,CUST057763,2022-12-02,Transfer,"Internet Banking",60798.61,4408816.92,Success,BR0500
TXN000000035,ACC0015488,CUST062688,NULL,Withdrawal,Branch,0.00,5469155.25,Success,BR0022
TXN000000036,ACC0017451,CUST098042,2025-01-26,Withdrawal,UPI,95672.65,1829592.51,Reversed,BR0696
TXN000000037,ACC0050475,CUST033631,2025-11-06,Upi,"Internet Banking",286443.00,2550523.11,Unknown,BR0923
TXN000000038,ACC0051965,CUST075692,2022-02-03,Deposit,"mobile app",193419.41,643185.60,Success,BR0829
TXN000000039,ACC0101535,CUST069718,2025-01-02,"Atm withdrawal","mobile app",214632.95,3282696.27,Pending,BR0574
TXN000000040,ACC0018016,CUST018342,2024-12-10,Withdrawal,Unknown,205031.03,3517841.78,Unknown,BR0171
TXN000000041,ACC0007293,CUST074962,2025-04-27,Transfer,"mobile app",23256.57,1490940.73,Success,BR0474
TXN000000042,ACC0107187,CUST034038,2022-05-03,"Loan payment","Internet Banking",171859.37,2067693.90,Failed,BR0200
TXN000000043,ACC0064336,CUST004914,2022-09-03,"Card payment","Mobile App",224201.30,1400493.09,Unknown,BR0829
TXN000000044,ACC0017699,CUST047056,2025-07-10,Withdrawal,Branch,108118.83,2400266.41,Reversed,BR0792
TXN000000045,ACC0117769,CUST040468,2022-11-24,"Atm withdrawal",POS,258994.76,2078066.56,Failed,BR0347
TXN000000046,ACC0055308,CUST070876,2022-11-22,Deposit,"Mobile App",223497.44,2106532.17,Success,BR0553
TXN000000047,ACC0042405,CUST098281,2024-05-19,"Loan payment","Mobile App",89604.75,2234586.27,Success,BR0230
TXN000000048,ACC0064157,CUST026294,2023-04-12,"Atm withdrawal",Unknown,147123.48,3213618.66,Failed,BR0502
TXN000000049,ACC0013364,CUST076637,2024-12-12,Unknown,"Mobile App",244626.81,2791028.82,Pending,BR0979
TXN000000050,ACC0083039,CUST018949,2024-02-01,"Card payment",POS,116238.93,3434147.02,Unknown,BR0441
TXN000000051,ACC0099600,CUST099961,2022-06-29,"Atm withdrawal",Branch,69277.81,3329319.68,Failed,BR0180
TXN000000052,ACC0122484,CUST010677,2023-01-10,Upi,ATM,27177.56,2315969.83,Success,BR0438
TXN000000053,ACC0120999,CUST067273,2025-09-14,Unknown,Branch,129363.13,0.00,Reversed,BR0461
TXN000000054,ACC0091278,CUST046128,2023-10-17,Upi,"mobile app",207756.54,4640808.37,Unknown,BR0810
TXN000000055,ACC0013771,CUST077709,2022-03-08,"Card payment","Internet Banking",293662.59,1214271.47,Unknown,BR0175
TXN000000056,ACC0015025,CUST079074,2023-06-01,Withdrawal,Unknown,188749.48,1858878.20,Reversed,BR0868
TXN000000057,ACC0058549,CUST083703,2025-12-03,"Loan payment","mobile app",121129.03,1576172.40,Pending,BR0120
TXN000000058,ACC0109514,CUST055827,2022-12-22,Withdrawal,Branch,120794.88,2733543.41,Failed,BR0538
TXN000000059,ACC0000971,CUST006443,NULL,Transfer,"Mobile App",74943.59,1682605.87,Reversed,BR0237
TXN000000060,ACC0084041,CUST007772,2022-11-22,"Card payment",ATM,248501.17,1590027.03,Failed,BR0743
TXN000000061,ACC0111540,CUST022581,2022-01-04,"Loan payment","mobile app",237125.39,2700405.52,Success,BR0010
TXN000000062,ACC0109037,CUST097827,2024-10-29,"Loan payment",UPI,68158.91,5418713.57,Reversed,BR0371
TXN000000063,ACC0041452,CUST087318,2025-05-04,Withdrawal,POS,12945.60,4231928.99,Failed,BR0155
TXN000000064,ACC0018639,CUST037676,2023-11-24,"Atm withdrawal",Branch,210429.91,5601514.44,Failed,BR0209
TXN000000065,ACC0116807,CUST043376,2025-01-02,Upi,ATM,272599.79,2145350.44,Reversed,BR0053
TXN000000066,ACC0126083,CUST084252,2022-11-11,"Loan payment",ATM,48895.62,321829.05,Unknown,BR0175
TXN000000067,ACC0027134,CUST048892,2022-04-03,"Loan payment","Mobile App",7321.19,297395.33,Success,BR0794
TXN000000068,ACC0059705,CUST047417,2024-02-05,Withdrawal,ATM,194557.73,4002526.73,Unknown,BR0207
TXN000000069,ACC0031409,CUST096296,2022-10-27,Deposit,"Mobile App",81125.98,4687881.31,Success,BR0770
TXN000000070,ACC0049319,CUST045732,2024-12-31,Upi,Unknown,8778.44,3061061.27,Unknown,BR0572
TXN000000071,ACC0123663,CUST031600,2023-06-12,Upi,"mobile app",179739.58,1863005.23,Success,BR0084
TXN000000072,ACC0119015,CUST031135,2024-11-30,"Card payment",Unknown,168547.35,4449932.14,Success,BR0378
TXN000000073,ACC0122538,CUST044923,2025-09-26,"Atm withdrawal","mobile app",275202.74,5852655.63,Failed,BR0955
TXN000000074,ACC0032001,CUST027816,2023-05-25,Deposit,Branch,198628.54,2237632.31,Pending,BR0782
TXN000000075,ACC0088122,CUST061302,2023-08-10,"Atm withdrawal",UPI,186329.22,279353.12,Reversed,BR0631
TXN000000076,ACC0024123,CUST020448,2022-01-26,Deposit,"Internet Banking",274663.50,1008177.28,Success,BR0871
TXN000000077,ACC0035226,CUST058754,2022-09-01,Unknown,UPI,157040.69,2392579.02,Failed,BR0386
TXN000000078,ACC0125078,CUST090983,2025-03-27,Withdrawal,ATM,273462.72,4184226.03,Reversed,BR0602
TXN000000079,ACC0065098,CUST085725,2022-12-06,"Atm withdrawal",ATM,139598.98,4430327.68,Reversed,BR0373
TXN000000080,ACC0040828,CUST045893,2025-07-03,"Atm withdrawal",Unknown,193692.44,1505001.32,Success,BR0150
TXN000000081,ACC0125836,CUST045489,2025-10-15,Deposit,UPI,275939.67,4649516.23,Pending,BR0464
TXN000000082,ACC0120693,CUST017197,2022-01-31,Withdrawal,UPI,224945.09,947747.83,Pending,BR0125
TXN000000083,ACC0102559,CUST028558,2023-06-05,"Atm withdrawal","Mobile App",235150.70,3072749.99,Reversed,BR0804
TXN000000084,ACC0042438,CUST016147,2023-03-03,Deposit,"Internet Banking",285220.89,3209855.52,Success,BR0800
TXN000000085,ACC0002070,CUST052807,2022-10-21,Deposit,"Internet Banking",76813.32,106055.43,Reversed,BR0058
TXN000000086,ACC0105697,CUST094022,NULL,Upi,"mobile app",224290.45,792270.15,Success,BR0597
TXN000000087,ACC0057742,CUST048452,2024-12-05,Transfer,ATM,162077.87,2703692.06,Failed,BR0717
TXN000000088,ACC0088351,CUST089939,2025-08-16,Unknown,"mobile app",180080.28,4440905.89,Success,BR0550
TXN000000089,ACC0097218,CUST032681,2024-12-17,Withdrawal,"Mobile App",227038.49,4244547.54,Success,BR0297
TXN000000090,ACC0070551,CUST022044,2022-02-26,"Loan payment",ATM,236215.11,1290099.92,Pending,BR0529
TXN000000091,ACC0015514,CUST094175,2025-11-14,"Atm withdrawal","Internet Banking",274203.32,4804879.70,Pending,BR0008
TXN000000092,ACC0035816,CUST025255,2023-04-10,Deposit,Branch,0.00,1725003.18,Success,BR0253
TXN000000093,ACC0082377,CUST027914,2023-03-27,"Loan payment",ATM,192204.33,4354785.12,Reversed,BR0905
TXN000000094,ACC0038118,CUST047524,2025-06-25,Upi,ATM,129043.37,4822771.50,Success,BR0751
TXN000000095,ACC0125966,CUST054965,2023-03-01,Withdrawal,"Internet Banking",54614.98,2421463.02,Pending,BR0023
TXN000000096,ACC0113486,CUST057558,2022-01-02,"Card payment",UPI,143635.73,371084.50,Unknown,BR0798
TXN000000097,ACC0107118,CUST099843,2024-10-03,Withdrawal,ATM,216471.93,4371263.18,Reversed,BR0655
TXN000000098,ACC0066369,CUST031165,2022-10-08,Unknown,Branch,234929.04,1774641.65,Reversed,BR0201
TXN000000099,ACC0060232,CUST036271,2025-06-02,"Card payment",Unknown,0.00,3690491.27,Reversed,BR0191
TXN000000100,ACC0129566,CUST034733,2025-06-05,"Loan payment",ATM,31976.95,973693.38,Pending,BR0605
TXN000000101,ACC0074529,CUST031664,2024-05-31,Deposit,ATM,166635.37,4775463.47,Success,BR0830
TXN000000102,ACC0056832,CUST073257,2025-10-07,"Atm withdrawal","mobile app",151916.97,3378531.79,Unknown,BR0311
TXN000000103,ACC0088820,CUST071184,2023-12-25,Transfer,Branch,109433.22,4963045.99,Success,BR0523
TXN000000104,ACC0064900,CUST093138,2025-04-13,"Loan payment","Internet Banking",220989.73,1681280.72,Success,BR0513
TXN000000105,ACC0041182,CUST039637,2024-01-26,Unknown,UPI,224300.48,2296260.35,Pending,BR0187
TXN000000106,ACC0030887,CUST061562,2024-11-18,Transfer,ATM,213810.96,291993.96,Pending,BR0622
TXN000000107,ACC0100851,CUST046674,2022-02-13,Unknown,POS,138656.17,5554774.68,Success,BR0644
TXN000000108,ACC0103777,CUST059274,2022-03-18,Deposit,UPI,183492.42,1761832.45,Success,BR0429
TXN000000109,ACC0123917,CUST039868,2023-04-22,Deposit,"Internet Banking",49429.50,5788700.58,Failed,BR0191
TXN000000110,ACC0113873,CUST090689,2025-07-25,Unknown,ATM,142575.19,880454.66,Success,BR0513
TXN000000111,ACC0015244,CUST077333,2022-07-01,"Loan payment","Mobile App",12551.76,4052798.11,Success,BR0449
TXN000000112,ACC0045929,CUST094999,2025-06-11,"Card payment",ATM,290389.78,5565592.55,Success,BR0913
TXN000000113,ACC0041312,CUST072598,2024-01-12,Deposit,UPI,76777.75,3708904.55,Success,BR0960
TXN000000114,ACC0061629,CUST023524,2025-07-25,Transfer,UPI,168966.39,4874914.06,Failed,BR0581
TXN000000115,ACC0027666,CUST053885,2025-10-21,"Card payment","Internet Banking",145213.98,3935534.42,Success,BR0069
TXN000000116,ACC0082477,CUST039274,2024-12-18,Withdrawal,Unknown,31980.16,4097987.56,Success,BR0673
TXN000000117,ACC0074673,CUST071711,2024-02-05,"Atm withdrawal",POS,210546.66,5076205.56,Pending,BR0741
TXN000000118,ACC0118072,CUST068260,2025-11-22,Unknown,ATM,195938.67,2143978.80,Reversed,BR0920
TXN000000119,ACC0119256,CUST076189,2023-10-18,"Loan payment",POS,74269.07,4887514.30,Failed,BR0751
TXN000000120,ACC0029395,CUST025766,2025-04-26,Unknown,Unknown,182237.81,1063256.58,Success,BR0452
TXN000000121,ACC0127284,CUST022264,2025-02-15,"Atm withdrawal","Internet Banking",154100.50,1024679.70,Failed,BR0165
TXN000000122,ACC0050931,CUST074015,2022-01-03,Transfer,ATM,181372.61,899693.77,Success,BR0785
TXN000000123,ACC0021768,CUST005848,2024-10-18,"Loan payment","mobile app",285204.52,1915435.48,Success,BR0288
TXN000000124,ACC0108112,CUST009746,2023-05-22,Upi,POS,143709.75,31670.51,Success,BR0322
TXN000000125,ACC0068092,CUST039213,2023-09-18,Deposit,UPI,199501.62,2878478.70,Pending,BR0845
TXN000000126,ACC0000355,CUST028469,2025-01-24,Transfer,POS,260339.98,5981124.56,Reversed,BR0051
TXN000000127,ACC0021161,CUST004093,2025-05-14,"Atm withdrawal",Unknown,84711.63,4610841.86,Reversed,BR0243
TXN000000128,ACC0118825,CUST036189,2025-01-11,"Loan payment",Unknown,197511.54,4488548.42,Unknown,BR0777
TXN000000129,ACC0049912,CUST025330,2025-04-18,"Loan payment",Unknown,76693.23,1585487.31,Pending,BR0800
TXN000000130,ACC0012572,CUST080675,NULL,Deposit,Branch,79389.29,3624595.73,Success,BR0056
TXN000000131,ACC0006537,CUST038386,2023-06-18,Withdrawal,POS,112522.27,5591770.17,Success,BR0917
TXN000000132,ACC0115950,CUST007136,2025-09-21,Deposit,"Mobile App",111770.99,2623196.44,Success,BR0261
TXN000000133,ACC0128793,CUST045510,2022-07-03,Deposit,Unknown,85964.06,4732107.20,Success,BR0109
TXN000000134,ACC0095061,CUST022556,2025-11-07,Withdrawal,UPI,189069.56,4647624.94,Success,BR0027
TXN000000135,ACC0089913,CUST014907,2023-03-02,Withdrawal,"Mobile App",44399.99,3536666.73,Success,BR0507
TXN000000136,ACC0006165,CUST060529,2023-03-06,Deposit,"Internet Banking",260777.47,2179742.33,Success,BR0293
TXN000000137,ACC0091842,CUST012445,2024-03-25,Withdrawal,ATM,92095.21,261476.82,Success,BR0016
TXN000000138,ACC0066835,CUST049715,2022-11-23,Upi,POS,108137.74,3870985.73,Unknown,BR0676
TXN000000139,ACC0076727,CUST035205,2025-09-22,Withdrawal,"Mobile App",128251.23,3146081.18,Success,BR0384
TXN000000140,ACC0055287,CUST043456,2023-09-03,"Atm withdrawal",UPI,230197.29,2116333.31,Pending,BR0386
TXN000000141,ACC0126939,CUST018649,2025-02-03,Unknown,"mobile app",293146.34,869926.31,Success,BR0403
TXN000000142,ACC0077132,CUST040032,2023-11-01,Unknown,ATM,62172.01,5481538.84,Success,BR0778
TXN000000143,ACC0073665,CUST098470,2023-09-23,Transfer,"mobile app",167114.85,513582.86,Success,BR0284
TXN000000144,ACC0082633,CUST053438,2024-05-15,"Loan payment","Mobile App",24172.91,5532931.63,Failed,BR0322
TXN000000145,ACC0020941,CUST036629,2025-08-30,"Loan payment",ATM,255839.07,51840.21,Success,BR0964
TXN000000146,ACC0110889,CUST086249,2022-09-05,Transfer,UPI,123484.74,3261523.54,Success,BR0967
TXN000000147,ACC0056599,CUST032178,2022-07-30,Deposit,"Internet Banking",217930.26,1752245.59,Pending,BR0919
TXN000000148,ACC0010894,CUST042685,2022-02-05,Withdrawal,"Internet Banking",10776.45,5152650.40,Success,BR0373
TXN000000149,ACC0121459,CUST070004,2024-08-06,Deposit,Branch,119493.63,3252860.70,Success,BR0562
TXN000000150,ACC0117852,CUST087881,2022-03-23,Deposit,Branch,46683.00,4907827.69,Pending,BR0773
TXN000000151,ACC0126052,CUST037279,2025-12-18,Unknown,"Internet Banking",258404.45,2077371.26,Failed,BR0523
TXN000000152,ACC0050388,CUST068508,2024-07-05,"Loan payment",ATM,45821.28,4439431.37,Pending,BR0262
TXN000000153,ACC0049058,CUST030985,2022-06-20,Upi,POS,237410.83,4924271.55,Reversed,BR0923
TXN000000154,ACC0027869,CUST072716,2022-02-10,Withdrawal,"Internet Banking",135226.09,2351493.64,Failed,BR0844
TXN000000155,ACC0062779,CUST070576,2025-02-19,Deposit,UPI,120537.34,3653520.36,Success,BR0244
TXN000000156,ACC0091569,CUST075938,2025-02-11,Deposit,"Mobile App",66787.69,5925894.52,Pending,BR0387
TXN000000157,ACC0098461,CUST085457,2025-07-09,Withdrawal,ATM,34073.35,1663432.15,Pending,BR0892
TXN000000158,ACC0107937,CUST007435,2025-09-02,"Atm withdrawal",Unknown,244069.52,5465477.33,Reversed,BR0186
TXN000000159,ACC0121761,CUST056389,2024-04-01,Deposit,ATM,176647.03,5153803.59,Success,BR0155
TXN000000160,ACC0057372,CUST094235,2025-01-29,Deposit,ATM,203459.54,5290777.10,Success,BR0120
TXN000000161,ACC0003594,CUST067165,2022-05-03,Unknown,"Internet Banking",250303.23,3339570.88,Success,BR0253
TXN000000162,ACC0046819,CUST097940,2024-11-22,Unknown,Unknown,95519.10,4349479.28,Success,BR0553
TXN000000163,ACC0037085,CUST098625,2024-08-16,Deposit,ATM,109822.02,4901881.47,Success,BR0785
TXN000000164,ACC0107821,CUST045812,2024-07-08,Transfer,ATM,45950.37,2935997.14,Reversed,BR0289
TXN000000165,ACC0036621,CUST046396,2023-12-14,"Loan payment",UPI,251909.05,5277077.30,Failed,BR0924
TXN000000166,ACC0015895,CUST007061,2023-05-04,Withdrawal,ATM,284636.31,1264269.13,Reversed,BR0378
TXN000000167,ACC0129460,CUST041238,2024-04-07,"Card payment","Internet Banking",501.76,2671573.53,Success,BR0200
TXN000000168,ACC0064586,CUST008778,2023-01-22,Withdrawal,Branch,77156.71,4052872.12,Pending,BR0447
TXN000000169,ACC0020361,CUST032835,2023-04-12,Upi,POS,215869.26,2366166.00,Pending,BR0986
TXN000000170,ACC0068654,CUST064247,2022-08-19,"Atm withdrawal",POS,201828.01,864751.77,Success,BR0363
TXN000000171,ACC0081171,CUST077711,2023-04-05,"Atm withdrawal","Mobile App",239111.12,3925519.90,Reversed,BR0669
TXN000000172,ACC0109103,CUST048865,2025-10-06,Deposit,Unknown,189950.91,3637274.02,Failed,BR0686
TXN000000173,ACC0121419,CUST077349,2024-06-24,"Card payment",UPI,133558.24,2820954.44,Unknown,BR0225
TXN000000174,ACC0067872,CUST026746,2022-02-20,Upi,Unknown,166485.67,1345393.25,Unknown,BR0272
TXN000000175,ACC0007155,CUST034900,2025-04-30,"Card payment",Unknown,256882.18,4137368.91,Failed,BR0132
TXN000000176,ACC0090742,CUST035767,2023-07-09,"Atm withdrawal","mobile app",263755.38,4967940.88,Reversed,BR0833
TXN000000177,ACC0004511,CUST027168,2022-03-14,Withdrawal,"Mobile App",294079.89,5130495.44,Reversed,BR0987
TXN000000178,ACC0056970,CUST039815,2022-02-03,"Atm withdrawal","mobile app",8440.27,362612.15,Unknown,BR0182
TXN000000179,ACC0030579,CUST060439,2023-01-27,"Loan payment",ATM,274501.23,2287628.28,Failed,BR0187
TXN000000180,ACC0094150,CUST020441,2024-07-06,"Loan payment",ATM,273308.88,5212573.77,Failed,BR0267
TXN000000181,ACC0017389,CUST029660,2023-06-01,Deposit,ATM,268329.77,5783265.91,Unknown,BR0538
TXN000000182,ACC0010283,CUST067865,2025-11-05,Transfer,"mobile app",161915.94,4190077.62,Failed,BR0179
TXN000000183,ACC0128883,CUST021456,2023-04-12,Withdrawal,"Mobile App",7301.09,5616203.92,Success,BR0706
TXN000000184,ACC0033491,CUST056664,NULL,"Card payment","mobile app",182324.84,1330841.30,Unknown,BR0778
TXN000000185,ACC0006974,CUST060275,2022-11-16,Withdrawal,"mobile app",21737.61,2058714.70,Success,BR0917
TXN000000186,ACC0036995,CUST090657,2023-11-14,"Card payment","Mobile App",72303.09,1523650.23,Failed,BR0754
TXN000000187,ACC0129688,CUST070735,2023-10-21,Deposit,Unknown,258089.80,2534231.65,Unknown,BR0302
TXN000000188,ACC0053681,CUST005137,2025-01-02,"Loan payment",ATM,253193.80,5275635.55,Failed,BR0731
TXN000000189,ACC0081360,CUST003574,2022-07-25,"Atm withdrawal",Unknown,58008.96,521656.46,Pending,BR0562
TXN000000190,ACC0064946,CUST044387,2025-05-28,"Card payment",ATM,103986.44,3366664.89,Pending,BR0218
TXN000000191,ACC0032008,CUST076417,2023-03-14,Transfer,Unknown,267338.99,2181020.94,Success,BR0804
TXN000000192,ACC0024844,CUST007410,2025-04-30,Withdrawal,Branch,188532.46,407755.83,Unknown,BR0607
TXN000000193,ACC0073550,CUST073700,2024-06-25,"Card payment","mobile app",242853.91,4286792.67,Pending,BR0484
TXN000000194,ACC0029899,CUST080532,2024-08-01,Withdrawal,UPI,203052.36,2957444.71,Success,BR0463
TXN000000195,ACC0105015,CUST099017,2025-05-04,Deposit,Unknown,3005.31,4666019.11,Reversed,BR0435
TXN000000196,ACC0085640,CUST060920,2023-08-03,Transfer,Branch,214693.11,4157347.29,Pending,BR0403
TXN000000197,ACC0034743,CUST049499,2022-12-24,Deposit,ATM,640.11,2981626.10,Success,BR0134
TXN000000198,ACC0102498,CUST075989,2024-10-01,Upi,ATM,249341.43,2990851.93,Pending,BR0280
TXN000000199,ACC0042062,CUST073633,2023-06-15,"Card payment","Internet Banking",97856.19,1902153.53,Unknown,BR0498
TXN000000200,ACC0010445,CUST002331,2022-06-17,Deposit,ATM,87668.90,452069.28,Failed,BR0273
TXN000000201,ACC0072901,CUST017224,2025-01-09,Withdrawal,"Mobile App",293037.18,5461967.52,Success,BR0100
TXN000000202,ACC0023014,CUST048024,2025-08-03,Deposit,"Internet Banking",128334.61,105307.42,Success,BR0368
TXN000000203,ACC0118407,CUST079737,2024-07-26,Unknown,"Internet Banking",18895.46,1456931.60,Failed,BR0193
TXN000000204,ACC0057250,CUST021317,2023-06-15,Deposit,Unknown,191048.07,413411.98,Failed,BR0601
TXN000000205,ACC0120311,CUST066216,2024-11-10,Withdrawal,Branch,704.19,2743354.45,Failed,BR0517
TXN000000206,ACC0125136,CUST051533,2024-07-16,"Atm withdrawal",Unknown,163767.32,732699.83,Failed,BR0654
TXN000000207,ACC0033089,CUST055404,2023-02-10,"Loan payment","Internet Banking",224319.04,903886.71,Reversed,BR0267
TXN000000208,ACC0064896,CUST088246,2025-10-06,Transfer,Branch,187883.92,2655724.41,Unknown,BR0334
TXN000000209,ACC0075613,CUST087035,2024-10-17,"Atm withdrawal",Branch,177732.14,1351569.18,Unknown,BR0477
TXN000000210,ACC0085970,CUST025975,2022-08-14,"Loan payment",Unknown,289148.06,463963.87,Success,BR0402
TXN000000211,ACC0044777,CUST025425,2024-01-20,Deposit,ATM,175871.86,3069455.32,Success,BR0292
TXN000000212,ACC0061160,CUST028365,2023-01-22,Withdrawal,Unknown,250454.92,3835756.11,Success,BR0726
TXN000000213,ACC0029813,CUST073233,2023-10-04,Unknown,ATM,140538.70,0.00,Failed,BR0463
TXN000000214,ACC0111206,CUST075470,2025-08-05,Withdrawal,"Mobile App",57659.60,2553945.53,Success,BR0937
TXN000000215,ACC0027409,CUST043908,2024-02-26,Transfer,Unknown,47111.91,5033685.08,Success,BR0463
TXN000000216,ACC0058014,CUST029769,2023-11-24,Transfer,"Internet Banking",125182.79,1347428.68,Failed,BR0784
TXN000000217,ACC0037792,CUST079965,2025-02-26,Transfer,Branch,19584.83,5902224.22,Reversed,BR0133
TXN000000218,ACC0052636,CUST001873,2025-09-06,Deposit,"Internet Banking",17516.52,344041.56,Pending,BR0500
TXN000000219,ACC0123264,CUST097356,2025-03-13,Deposit,"Internet Banking",274240.84,3958619.26,Success,BR0443
TXN000000220,ACC0009599,CUST023934,2024-12-16,Withdrawal,ATM,62463.76,28942.52,Reversed,BR0409
TXN000000221,ACC0007912,CUST085701,2024-08-09,Transfer,"mobile app",193561.16,1301959.51,Success,BR0555
TXN000000222,ACC0080284,CUST021698,2023-01-03,Deposit,"mobile app",284198.42,3901585.84,Pending,BR0907
TXN000000223,ACC0051852,CUST002632,2025-06-18,Deposit,Branch,175532.67,5443873.77,Success,BR0221
TXN000000224,ACC0052920,CUST073914,2022-02-05,"Loan payment",ATM,131881.09,5846837.17,Pending,BR0088
TXN000000225,ACC0048457,CUST058093,2022-06-03,Upi,Unknown,0.00,1692050.83,Success,BR0741
TXN000000226,ACC0068566,CUST041037,2024-05-24,Unknown,Branch,273965.74,3081650.11,Unknown,BR0986
TXN000000227,ACC0087617,CUST046428,2023-12-31,Unknown,ATM,223823.93,4174106.14,Reversed,BR0935
TXN000000228,ACC0008074,CUST018530,2022-09-27,"Loan payment","Internet Banking",46003.14,4277489.66,Success,BR0151
TXN000000229,ACC0070780,CUST072254,2025-08-28,Upi,"Internet Banking",208104.09,2309233.90,Pending,BR0506
TXN000000230,ACC0102790,CUST084002,2025-12-29,Deposit,ATM,211193.89,2636507.45,Reversed,BR0857
TXN000000231,ACC0042885,CUST056757,2025-07-20,"Atm withdrawal","Mobile App",285607.01,5563385.25,Success,BR0957
TXN000000232,ACC0022940,CUST071916,2025-04-04,Transfer,POS,189688.93,2103075.80,Reversed,BR0810
TXN000000233,ACC0079401,CUST039392,2025-07-25,Deposit,"Mobile App",107147.99,4525481.84,Unknown,BR0375
TXN000000234,ACC0103121,CUST017454,2023-09-09,Upi,Branch,45594.33,2587715.90,Unknown,BR0863
TXN000000235,ACC0103130,CUST017776,2025-11-20,Unknown,"Internet Banking",51112.04,5013437.17,Failed,BR0283
TXN000000236,ACC0040466,CUST087170,2023-09-20,Deposit,"Mobile App",204775.92,2923621.08,Success,BR0817
TXN000000237,ACC0007763,CUST011020,2024-02-27,Transfer,"Mobile App",83675.79,707929.75,Success,BR0628
TXN000000238,ACC0003795,CUST012522,2023-12-22,Withdrawal,"Internet Banking",214030.12,5203346.92,Unknown,BR0472
TXN000000239,ACC0117328,CUST076361,2025-03-07,Transfer,POS,195620.05,4006797.80,Success,BR0213
