Branch_ID,Branch_Name,City,State,Total_txn_Count,Total_Txn_Amount
BR0871,"Kolkata Branch 871",Kolkata,"West Bengal",1081,155360360.02
BR0451,"Alwar Branch 451",Alwar,Rajasthan,1047,155345282.00
BR0431,"Lucknow Branch 431",Lucknow,"Uttar Pradesh",1053,155312201.89
BR0830,"Pune Branch 830",Pune,Maharashtra,1033,155254635.56
BR0023,"Mumbai Branch 23",Mumbai,Maharashtra,1014,155216389.32
BR0761,"Indore Branch 761",Indore,"Madhya Pradesh",1062,155189926.70
BR0861,"Kolkata Branch 861",Kolkata,"West Bengal",1032,155165163.36
BR0538,"Indore Branch 538",Indore,"Madhya Pradesh",1028,155162610.51
BR0856,"Ahmedabad Branch 856",Ahmedabad,Gujarat,1045,155099171.56
BR0728,"Bhopal Branch 728",Bhopal,"Madhya Pradesh",1033,155057159.04
BR0157,"Bhopal Branch 157",Bhopal,"Madhya Pradesh",1014,155042457.79
BR0994,"Jodhpur Branch 994",Jodhpur,Rajasthan,1024,155032637.35
BR0510,"Delhi Branch 510",Delhi,Delhi,1036,155003485.39
BR0267,"Udaipur Branch 267",Udaipur,Rajasthan,1037,154985726.65
BR0473,"Bengaluru Branch 473",Bengaluru,Karnataka,1019,154951676.29
BR0731,"Jaipur Branch 731",Jaipur,Rajasthan,1025,154796845.39
BR0341,"Kolkata Branch 341",Kolkata,"West Bengal",1019,154769420.79
BR0708,"Indore Branch 708",Indore,"Madhya Pradesh",1054,154755708.30
BR0810,"Mumbai Branch 810",Mumbai,Maharashtra,1043,154731240.27
BR0124,"Surat Branch 124",Surat,Gujarat,1045,154658234.54
BR0247,"Bhopal Branch 247",Bhopal,"Madhya Pradesh",1017,154653909.96
BR0590,"Chandigarh Branch 590",Chandigarh,Chandigarh,1011,154651809.64
BR0674,"Surat Branch 674",Surat,Gujarat,1053,154631338.37
BR0356,"Pune Branch 356",Pune,Maharashtra,1028,154623814.80
BR0009,"Surat Branch 9",Surat,Gujarat,1030,154577794.51
BR0086,"Ahmedabad Branch 86",Ahmedabad,Gujarat,1038,154559132.71
BR0098,"Jodhpur Branch 98",Jodhpur,Rajasthan,1033,154461132.80
BR0214,"Chandigarh Branch 214",Chandigarh,Chandigarh,1031,154454498.65
BR0145,"Kota Branch 145",Kota,Rajasthan,1017,154446875.94
BR0335,"Kota Branch 335",Kota,Rajasthan,1040,154420393.15
BR0653,"Jodhpur Branch 653",Jodhpur,Rajasthan,1047,154364883.53
BR0233,"Jodhpur Branch 233",Jodhpur,Rajasthan,1072,154340651.06
BR0208,"Hyderabad Branch 208",Hyderabad,Telangana,1034,154314845.81
BR0618,"Surat Branch 618",Surat,Gujarat,1026,154177710.89
BR0687,"Indore Branch 687",Indore,"Madhya Pradesh",1068,154166487.96
BR0603,"Delhi Branch 603",Delhi,Delhi,1029,154160715.39
BR0730,"Pune Branch 730",Pune,Maharashtra,1037,154137844.14
BR0402,"Chandigarh Branch 402",Chandigarh,Chandigarh,1030,154125173.15
BR0030,"Jodhpur Branch 30",Jodhpur,Rajasthan,1001,154038567.25
BR0667,"Jodhpur Branch 667",Jodhpur,Rajasthan,1024,154012508.87
BR0640,"Alwar Branch 640",Alwar,Rajasthan,1028,153950535.47
BR0213,"Kota Branch 213",Kota,Rajasthan,1016,153942269.66
BR0886,"Pune Branch 886",Pune,Maharashtra,1081,153942103.96
BR0044,"Udaipur Branch 44",Udaipur,Rajasthan,1065,153897337.05
BR0243,"Bengaluru Branch 243",Bengaluru,Karnataka,1042,153876525.61
BR0628,"Bhopal Branch 628",Bhopal,"Madhya Pradesh",1065,153875613.94
BR0976,"Mumbai Branch 976",Mumbai,Maharashtra,1033,153856855.40
BR0776,"Lucknow Branch 776",Lucknow,"Uttar Pradesh",1057,153839526.03
BR0758,"Pune Branch 758",Pune,Maharashtra,1053,153824505.58
BR0843,"Delhi Branch 843",Delhi,Delhi,1049,153787737.08
BR0581,"Chennai Branch 581",Chennai,"Tamil Nadu",1049,153756650.30
BR0456,"Kolkata Branch 456",Kolkata,"West Bengal",1042,153743960.98
BR0841,"Kota Branch 841",Kota,Rajasthan,1024,153733562.78
BR0497,"Mumbai Branch 497",Mumbai,Maharashtra,1045,153704759.98
BR0572,"Kota Branch 572",Kota,Rajasthan,1023,153696489.06
BR0698,"Hyderabad Branch 698",Hyderabad,Telangana,1035,153680746.52
BR0824,"Pune Branch 824",Pune,Maharashtra,1035,153665210.93
BR0016,"Jodhpur Branch 16",Jodhpur,Rajasthan,986,153650734.24
BR0700,"Bengaluru Branch 700",Bengaluru,Karnataka,1037,153641928.81
BR0220,"Jodhpur Branch 220",Jodhpur,Rajasthan,1045,153622016.27
BR0230,"Delhi Branch 230",Delhi,Delhi,1038,153620682.99
BR0162,"Mumbai Branch 162",Mumbai,Maharashtra,1022,153586421.10
BR0890,"Indore Branch 890",Indore,"Madhya Pradesh",1040,153555734.79
BR0756,"Chennai Branch 756",Chennai,"Tamil Nadu",1063,153534585.17
BR0804,"Chandigarh Branch 804",Chandigarh,Chandigarh,1040,153525609.85
BR0989,"Indore Branch 989",Indore,"Madhya Pradesh",1028,153488868.01
BR0850,"Pune Branch 850",Pune,Maharashtra,1011,153487249.96
BR0328,"Chennai Branch 328",Chennai,"Tamil Nadu",1035,153449256.58
BR0622,"Lucknow Branch 622",Lucknow,"Uttar Pradesh",1048,153425668.86
BR0582,"Jodhpur Branch 582",Jodhpur,Rajasthan,1040,153404060.33
BR0099,"Surat Branch 99",Surat,Gujarat,1068,153391986.58
BR0867,"Jaipur Branch 867",Jaipur,Rajasthan,1043,153350034.90
BR0893,"Delhi Branch 893",Delhi,Delhi,1001,153345685.07
BR0011,"Bengaluru Branch 11",Bengaluru,Karnataka,1024,153333582.63
BR0121,"Indore Branch 121",Indore,"Madhya Pradesh",1035,153318799.88
BR0346,"Bengaluru Branch 346",Bengaluru,Karnataka,1008,153297550.20
BR0188,"Indore Branch 188",Indore,"Madhya Pradesh",1041,153228787.79
BR0302,"Chennai Branch 302",Chennai,"Tamil Nadu",1031,153193109.88
BR0737,"Surat Branch 737",Surat,Gujarat,1048,153189694.32
BR0938,"Ahmedabad Branch 938",Ahmedabad,Gujarat,1041,153183095.29
BR0077,"Kolkata Branch 77",Kolkata,"West Bengal",992,153162392.64
BR0754,"Chandigarh Branch 754",Chandigarh,Chandigarh,1022,153110652.51
BR0429,"Alwar Branch 429",Alwar,Rajasthan,1017,153035048.14
BR0357,"Hyderabad Branch 357",Hyderabad,Telangana,1016,152991542.09
BR0273,"Udaipur Branch 273",Udaipur,Rajasthan,996,152985235.43
BR0907,"Alwar Branch 907",Alwar,Rajasthan,1020,152975663.87
BR0320,"Alwar Branch 320",Alwar,Rajasthan,1002,152973739.41
BR0118,"Indore Branch 118",Indore,"Madhya Pradesh",1019,152915579.40
BR0982,"Udaipur Branch 982",Udaipur,Rajasthan,1059,152910690.71
BR0192,"Ahmedabad Branch 192",Ahmedabad,Gujarat,1037,152893261.17
BR0486,"Kota Branch 486",Kota,Rajasthan,1056,152891499.36
BR0805,"Jaipur Branch 805",Jaipur,Rajasthan,1019,152888708.93
BR0564,"Hyderabad Branch 564",Hyderabad,Telangana,1019,152859796.59
BR0778,"Ahmedabad Branch 778",Ahmedabad,Gujarat,1046,152802662.67
BR0191,"Jodhpur Branch 191",Jodhpur,Rajasthan,1040,152766820.35
BR0977,"Mumbai Branch 977",Mumbai,Maharashtra,1049,152765544.88
BR0103,"Mumbai Branch 103",Mumbai,Maharashtra,1052,152724514.25
BR0512,"Jaipur Branch 512",Jaipur,Rajasthan,996,152640431.91
BR0623,"Jodhpur Branch 623",Jodhpur,Rajasthan,1042,152620923.94
BR0312,"Kolkata Branch 312",Kolkata,"West Bengal",1013,152611657.21
BR0423,"Lucknow Branch 423",Lucknow,"Uttar Pradesh",1043,152592879.83
BR0466,"Alwar Branch 466",Alwar,Rajasthan,1004,152589184.40
BR0829,"Mumbai Branch 829",Mumbai,Maharashtra,1018,152573640.89
BR0272,"Chandigarh Branch 272",Chandigarh,Chandigarh,1006,152568066.62
BR0053,"Chennai Branch 53",Chennai,"Tamil Nadu",1028,152520468.32
BR0797,"Bengaluru Branch 797",Bengaluru,Karnataka,1021,152518974.64
BR0026,"Bengaluru Branch 26",Bengaluru,Karnataka,1034,152505204.23
BR0136,"Bengaluru Branch 136",Bengaluru,Karnataka,1063,152466506.45
BR0513,"Indore Branch 513",Indore,"Madhya Pradesh",1038,152401569.85
BR0172,"Jaipur Branch 172",Jaipur,Rajasthan,1015,152336559.57
BR0349,"Surat Branch 349",Surat,Gujarat,1046,152335550.09
BR0173,"Indore Branch 173",Indore,"Madhya Pradesh",1013,152314198.69
BR0933,"Surat Branch 933",Surat,Gujarat,1037,152283035.54
BR0936,"Jodhpur Branch 936",Jodhpur,Rajasthan,1031,152270793.31
BR0119,"Jodhpur Branch 119",Jodhpur,Rajasthan,1023,152270699.49
BR0591,"Lucknow Branch 591",Lucknow,"Uttar Pradesh",1006,152241000.02
BR0383,"Chennai Branch 383",Chennai,"Tamil Nadu",1041,152229917.11
BR0174,"Jodhpur Branch 174",Jodhpur,Rajasthan,1033,152227276.73
BR0278,"Mumbai Branch 278",Mumbai,Maharashtra,1027,152111436.30
BR0261,"Bengaluru Branch 261",Bengaluru,Karnataka,1051,152052020.84
BR0390,"Bhopal Branch 390",Bhopal,"Madhya Pradesh",1056,152048914.43
BR0452,"Jodhpur Branch 452",Jodhpur,Rajasthan,1016,152046737.81
BR0865,"Lucknow Branch 865",Lucknow,"Uttar Pradesh",1015,152027979.02
BR0553,"Jodhpur Branch 553",Jodhpur,Rajasthan,1011,152014849.16
BR0688,"Alwar Branch 688",Alwar,Rajasthan,1008,152013264.53
BR0294,"Kota Branch 294",Kota,Rajasthan,1042,151997787.85
BR0767,"Ahmedabad Branch 767",Ahmedabad,Gujarat,1030,151965853.26
BR0114,"Lucknow Branch 114",Lucknow,"Uttar Pradesh",1018,151896245.15
BR0836,"Hyderabad Branch 836",Hyderabad,Telangana,1046,151894131.16
BR0126,"Delhi Branch 126",Delhi,Delhi,967,151892003.96
BR0405,"Lucknow Branch 405",Lucknow,"Uttar Pradesh",1012,151867751.61
BR0280,"Jaipur Branch 280",Jaipur,Rajasthan,1021,151862363.03
BR0449,"Bengaluru Branch 449",Bengaluru,Karnataka,1040,151855184.03
BR0439,"Lucknow Branch 439",Lucknow,"Uttar Pradesh",1033,151852348.42
BR0925,"Hyderabad Branch 925",Hyderabad,Telangana,1038,151787140.76
BR0336,"Bhopal Branch 336",Bhopal,"Madhya Pradesh",1007,151730014.34
BR0089,"Alwar Branch 89",Alwar,Rajasthan,1033,151720768.39
BR0588,"Udaipur Branch 588",Udaipur,Rajasthan,1030,151705978.03
BR0396,"Kota Branch 396",Kota,Rajasthan,1028,151681410.42
BR0746,"Mumbai Branch 746",Mumbai,Maharashtra,1014,151625846.43
BR0496,"Udaipur Branch 496",Udaipur,Rajasthan,1062,151616467.18
BR0920,"Hyderabad Branch 920",Hyderabad,Telangana,1004,151600626.20
BR0036,"Chennai Branch 36",Chennai,"Tamil Nadu",1024,151591915.27
BR0327,"Mumbai Branch 327",Mumbai,Maharashtra,1027,151583044.80
BR0149,"Alwar Branch 149",Alwar,Rajasthan,1029,151555002.88
BR0422,"Bhopal Branch 422",Bhopal,"Madhya Pradesh",1020,151541305.58
BR0458,"Chennai Branch 458",Chennai,"Tamil Nadu",1030,151495538.01
BR0808,"Jaipur Branch 808",Jaipur,Rajasthan,1028,151489840.20
BR0168,"Chandigarh Branch 168",Chandigarh,Chandigarh,1037,151482001.01
BR0275,"Ahmedabad Branch 275",Ahmedabad,Gujarat,1039,151474674.79
BR0948,"Kota Branch 948",Kota,Rajasthan,1034,151474195.24
BR0293,"Jodhpur Branch 293",Jodhpur,Rajasthan,1019,151445666.38
BR0100,"Kolkata Branch 100",Kolkata,"West Bengal",977,151439699.89
BR0869,"Lucknow Branch 869",Lucknow,"Uttar Pradesh",1027,151407864.61
BR0929,"Udaipur Branch 929",Udaipur,Rajasthan,1025,151406006.70
BR0259,"Kolkata Branch 259",Kolkata,"West Bengal",1016,151393840.87
BR0151,"Alwar Branch 151",Alwar,Rajasthan,1026,151384908.85
BR0469,"Lucknow Branch 469",Lucknow,"Uttar Pradesh",1050,151353418.25
BR0853,"Jodhpur Branch 853",Jodhpur,Rajasthan,1015,151341028.38
BR0739,"Jodhpur Branch 739",Jodhpur,Rajasthan,1029,151335982.25
BR0203,"Ahmedabad Branch 203",Ahmedabad,Gujarat,1016,151299249.35
BR0362,"Delhi Branch 362",Delhi,Delhi,1040,151220840.59
BR0442,"Jodhpur Branch 442",Jodhpur,Rajasthan,996,151210224.52
BR0571,"Surat Branch 571",Surat,Gujarat,978,151204674.66
BR0904,"Hyderabad Branch 904",Hyderabad,Telangana,1025,151197108.07
BR0378,"Indore Branch 378",Indore,"Madhya Pradesh",1024,151171624.68
BR0150,"Surat Branch 150",Surat,Gujarat,990,151165188.45
BR0179,"Bengaluru Branch 179",Bengaluru,Karnataka,1024,151154180.29
BR0978,"Chandigarh Branch 978",Chandigarh,Chandigarh,1053,151141693.56
BR0494,"Alwar Branch 494",Alwar,Rajasthan,1056,151114087.45
BR0794,"Jaipur Branch 794",Jaipur,Rajasthan,1011,151111972.61
BR0502,"Delhi Branch 502",Delhi,Delhi,1036,151098580.44
BR0652,"Kolkata Branch 652",Kolkata,"West Bengal",1020,151087043.36
BR0010,"Pune Branch 10",Pune,Maharashtra,1012,151079646.51
BR0848,"Ahmedabad Branch 848",Ahmedabad,Gujarat,1035,151016518.91
BR0301,"Bhopal Branch 301",Bhopal,"Madhya Pradesh",1027,150999453.87
BR0677,"Jodhpur Branch 677",Jodhpur,Rajasthan,1028,150971387.92
BR0973,"Mumbai Branch 973",Mumbai,Maharashtra,1010,150958004.91
BR0656,"Mumbai Branch 656",Mumbai,Maharashtra,1028,150910394.73
BR0250,"Indore Branch 250",Indore,"Madhya Pradesh",1003,150886505.51
BR0552,"Mumbai Branch 552",Mumbai,Maharashtra,1013,150882042.07
BR0333,"Indore Branch 333",Indore,"Madhya Pradesh",1016,150875826.50
BR0927,"Jaipur Branch 927",Jaipur,Rajasthan,1035,150846577.69
BR1000,"Delhi Branch 1000",Delhi,Delhi,1025,150845182.76
BR0990,"Jodhpur Branch 990",Jodhpur,Rajasthan,998,150840086.64
BR0472,"Chennai Branch 472",Chennai,"Tamil Nadu",1017,150829238.71
BR0937,"Jodhpur Branch 937",Jodhpur,Rajasthan,1032,150810705.47
BR0139,"Bengaluru Branch 139",Bengaluru,Karnataka,1011,150808101.39
BR0879,"Lucknow Branch 879",Lucknow,"Uttar Pradesh",1034,150803843.16
BR0450,"Alwar Branch 450",Alwar,Rajasthan,1023,150787457.88
BR0468,"Chandigarh Branch 468",Chandigarh,Chandigarh,1011,150781981.85
BR0786,"Delhi Branch 786",Delhi,Delhi,1023,150780299.85
BR0071,"Lucknow Branch 71",Lucknow,"Uttar Pradesh",1011,150770540.98
BR0042,"Pune Branch 42",Pune,Maharashtra,1007,150769209.96
BR0703,"Udaipur Branch 703",Udaipur,Rajasthan,1040,150768597.81
BR0223,"Lucknow Branch 223",Lucknow,"Uttar Pradesh",1053,150750467.67
BR0110,"Indore Branch 110",Indore,"Madhya Pradesh",1029,150742269.75
BR0983,"Kolkata Branch 983",Kolkata,"West Bengal",1024,150734074.05
BR0266,"Mumbai Branch 266",Mumbai,Maharashtra,1025,150721174.42
BR0403,"Jaipur Branch 403",Jaipur,Rajasthan,999,150695816.47
BR0084,"Mumbai Branch 84",Mumbai,Maharashtra,1012,150682003.56
BR0097,"Kolkata Branch 97",Kolkata,"West Bengal",1002,150670231.74
BR0459,"Indore Branch 459",Indore,"Madhya Pradesh",1017,150656350.09
BR0744,"Chandigarh Branch 744",Chandigarh,Chandigarh,1044,150641136.34
BR0043,"Chennai Branch 43",Chennai,"Tamil Nadu",1003,150638863.86
BR0644,"Kota Branch 644",Kota,Rajasthan,1052,150565918.99
BR0537,"Bengaluru Branch 537",Bengaluru,Karnataka,1030,150526966.44
BR0177,"Lucknow Branch 177",Lucknow,"Uttar Pradesh",1017,150502941.67
BR0689,"Udaipur Branch 689",Udaipur,Rajasthan,1009,150501332.59
BR0028,"Indore Branch 28",Indore,"Madhya Pradesh",1003,150500478.29
BR0802,"Lucknow Branch 802",Lucknow,"Uttar Pradesh",994,150499237.09
BR0374,"Udaipur Branch 374",Udaipur,Rajasthan,1012,150481571.31
BR0790,"Lucknow Branch 790",Lucknow,"Uttar Pradesh",1007,150466547.14
BR0562,"Kolkata Branch 562",Kolkata,"West Bengal",1016,150460032.13
BR0793,"Udaipur Branch 793",Udaipur,Rajasthan,1016,150448400.64
BR0602,"Jodhpur Branch 602",Jodhpur,Rajasthan,1036,150412698.49
BR0570,"Lucknow Branch 570",Lucknow,"Uttar Pradesh",1041,150394283.13
BR0534,"Bengaluru Branch 534",Bengaluru,Karnataka,1010,150382693.74
BR0837,"Bhopal Branch 837",Bhopal,"Madhya Pradesh",1018,150367522.33
BR0471,"Jaipur Branch 471",Jaipur,Rajasthan,1020,150355612.59
BR0766,"Udaipur Branch 766",Udaipur,Rajasthan,1016,150353949.66
BR0444,"Surat Branch 444",Surat,Gujarat,1038,150330112.52
BR0823,"Chennai Branch 823",Chennai,"Tamil Nadu",1036,150327510.53
BR0663,"Lucknow Branch 663",Lucknow,"Uttar Pradesh",1005,150272158.78
BR0012,"Indore Branch 12",Indore,"Madhya Pradesh",1024,150242670.64
BR0394,"Surat Branch 394",Surat,Gujarat,1002,150216864.60
BR0763,"Bhopal Branch 763",Bhopal,"Madhya Pradesh",1028,150175570.54
BR0715,"Chennai Branch 715",Chennai,"Tamil Nadu",1010,150161653.33
BR0054,"Hyderabad Branch 54",Hyderabad,Telangana,1011,150127930.22
BR0049,"Surat Branch 49",Surat,Gujarat,1014,150126067.27
BR0649,"Kolkata Branch 649",Kolkata,"West Bengal",1007,150118693.31
BR0092,"Mumbai Branch 92",Mumbai,Maharashtra,1000,150050400.55
BR0296,"Jaipur Branch 296",Jaipur,Rajasthan,1030,150042224.76
BR0308,"Pune Branch 308",Pune,Maharashtra,998,150034470.11
BR0583,"Udaipur Branch 583",Udaipur,Rajasthan,1020,150002939.05
BR0662,"Indore Branch 662",Indore,"Madhya Pradesh",1029,149992075.12
BR0381,"Bengaluru Branch 381",Bengaluru,Karnataka,1015,149982161.18
BR0595,"Lucknow Branch 595",Lucknow,"Uttar Pradesh",1033,149971746.60
BR0620,"Bengaluru Branch 620",Bengaluru,Karnataka,1015,149970069.65
BR0231,"Alwar Branch 231",Alwar,Rajasthan,1008,149964550.50
BR0872,"Pune Branch 872",Pune,Maharashtra,1012,149931523.50
BR0820,"Alwar Branch 820",Alwar,Rajasthan,1041,149931480.76
BR0944,"Surat Branch 944",Surat,Gujarat,1005,149907820.61
BR0487,"Jodhpur Branch 487",Jodhpur,Rajasthan,1019,149896415.07
BR0579,"Delhi Branch 579",Delhi,Delhi,1027,149890090.71
BR0637,"Delhi Branch 637",Delhi,Delhi,998,149886216.62
BR0022,"Chandigarh Branch 22",Chandigarh,Chandigarh,1003,149834168.33
BR0685,"Hyderabad Branch 685",Hyderabad,Telangana,1012,149814306.71
BR0735,"Delhi Branch 735",Delhi,Delhi,1003,149790106.72
BR0696,"Kolkata Branch 696",Kolkata,"West Bengal",1010,149779106.88
BR0365,"Surat Branch 365",Surat,Gujarat,1050,149773417.04
BR0954,"Kolkata Branch 954",Kolkata,"West Bengal",992,149759699.52
BR0443,"Lucknow Branch 443",Lucknow,"Uttar Pradesh",1013,149747577.83
BR0952,"Chandigarh Branch 952",Chandigarh,Chandigarh,1020,149699970.97
BR0759,"Alwar Branch 759",Alwar,Rajasthan,1051,149699298.32
BR0887,"Mumbai Branch 887",Mumbai,Maharashtra,965,149698643.43
BR0913,"Lucknow Branch 913",Lucknow,"Uttar Pradesh",998,149684954.43
BR0972,"Jaipur Branch 972",Jaipur,Rajasthan,1015,149667085.11
BR0795,"Jaipur Branch 795",Jaipur,Rajasthan,977,149666438.35
BR0768,"Mumbai Branch 768",Mumbai,Maharashtra,1021,149652957.96
BR0596,"Chennai Branch 596",Chennai,"Tamil Nadu",1005,149644998.23
BR0721,"Jaipur Branch 721",Jaipur,Rajasthan,1015,149611285.60
BR0747,"Kolkata Branch 747",Kolkata,"West Bengal",1026,149600171.45
BR0412,"Kolkata Branch 412",Kolkata,"West Bengal",1011,149572749.38
BR0477,"Kolkata Branch 477",Kolkata,"West Bengal",1001,149571857.73
BR0478,"Alwar Branch 478",Alwar,Rajasthan,1016,149569529.27
BR0919,"Mumbai Branch 919",Mumbai,Maharashtra,1030,149564202.51
BR0262,"Delhi Branch 262",Delhi,Delhi,1007,149556017.90
BR0258,"Alwar Branch 258",Alwar,Rajasthan,1019,149526720.49
BR0130,"Indore Branch 130",Indore,"Madhya Pradesh",1002,149524710.69
BR0039,"Jaipur Branch 39",Jaipur,Rajasthan,997,149512070.80
BR0200,"Kolkata Branch 200",Kolkata,"West Bengal",1005,149505400.06
BR0782,"Indore Branch 782",Indore,"Madhya Pradesh",1028,149490874.25
BR0161,"Surat Branch 161",Surat,Gujarat,1024,149486166.44
BR0306,"Jodhpur Branch 306",Jodhpur,Rajasthan,1040,149485628.54
BR0946,"Bengaluru Branch 946",Bengaluru,Karnataka,994,149438060.80
BR0655,"Surat Branch 655",Surat,Gujarat,998,149409874.24
BR0481,"Chandigarh Branch 481",Chandigarh,Chandigarh,1014,149406767.03
BR0416,"Udaipur Branch 416",Udaipur,Rajasthan,999,149383752.07
BR0215,"Chennai Branch 215",Chennai,"Tamil Nadu",1017,149377002.92
BR0479,"Jodhpur Branch 479",Jodhpur,Rajasthan,998,149371542.59
BR0792,"Chennai Branch 792",Chennai,"Tamil Nadu",999,149347690.17
BR0679,"Delhi Branch 679",Delhi,Delhi,1008,149340573.56
BR0695,"Delhi Branch 695",Delhi,Delhi,1008,149331039.49
BR0612,"Delhi Branch 612",Delhi,Delhi,1028,149325167.23
BR0309,"Alwar Branch 309",Alwar,Rajasthan,995,149310159.56
BR0081,"Ahmedabad Branch 81",Ahmedabad,Gujarat,1020,149305469.45
BR0743,"Jaipur Branch 743",Jaipur,Rajasthan,1002,149294478.14
BR0565,"Bhopal Branch 565",Bhopal,"Madhya Pradesh",1011,149288548.91
BR0908,"Jaipur Branch 908",Jaipur,Rajasthan,1002,149284404.13
BR0219,"Ahmedabad Branch 219",Ahmedabad,Gujarat,1007,149262728.87
